Insert(-416.24,Value0)
Insert(-385.24,Value1)
Insert(492.67,Value2)
Insert(-458.08,Value3)
Insert(-362.1,Value4)
Insert(-411.43,Value5)
Insert(-449.53,Value6)
Insert(97.4,Value7)
Insert(64.73,Value8)
Insert(27.37,Value9)
Insert(437.49,Value10)
Insert(230.55,Value11)
Insert(251.11,Value12)
Insert(433.92,Value13)
Insert(311.0,Value14)
Insert(435.2,Value15)
Insert(105.88,Value16)
Insert(-403.61,Value17)
Insert(-47.84,Value18)
Insert(426.84,Value19)
Insert(143.98,Value20)
Insert(100.15,Value21)
Insert(-390.13,Value22)
Insert(42.02,Value23)
Insert(-253.57,Value24)
Insert(-234.56,Value25)
Insert(-74.57,Value26)
Insert(465.39,Value27)
Insert(-281.04,Value28)
Insert(-49.58,Value29)
Insert(-494.01,Value30)
Insert(458.84,Value31)
Insert(-303.81,Value32)
Insert(473.7,Value33)
Insert(72.12,Value34)
Insert(-420.12,Value35)
Insert(-46.23,Value36)
Insert(348.98,Value37)
Insert(492.69,Value38)
Insert(395.79,Value39)
