Insert(-41.41,Value0)
Insert(-249.19,Value1)
Insert(-116.75,Value2)
Insert(-164.24,Value3)
Insert(41.13,Value4)
Insert(257.96,Value5)
Insert(-503.98,Value6)
Insert(959.67,Value7)
Insert(-129.54,Value8)
Insert(-2.02,Value9)
Insert(52.51,Value10)
Insert(-190.36,Value11)
Insert(-1225.63,Value12)
Insert(-1461.15,Value13)
Insert(1105.4,Value14)
Insert(72.28,Value15)
Insert(299.15,Value16)
Insert(-1079.03,Value17)
Insert(-799.21,Value18)
Insert(1454.25,Value19)
Insert(789.73,Value20)
Insert(-1142.22,Value21)
Insert(-453.92,Value22)
Insert(983.24,Value23)
Insert(79.03,Value24)
Insert(552.99,Value25)
Insert(-1300.39,Value26)
Insert(684.82,Value27)
Insert(-519.94,Value28)
Insert(-326.05,Value29)
Insert(1157.28,Value30)
Insert(-1259.47,Value31)
Insert(-284.74,Value32)
Insert(-771.5,Value33)
Insert(406.57,Value34)
Insert(995.57,Value35)
Insert(1441.12,Value36)
Insert(884.91,Value37)
Insert(510.14,Value38)
Insert(-671.68,Value39)
Insert(1208.3,Value40)
Insert(-399.58,Value41)
Insert(-1238.94,Value42)
Insert(284.26,Value43)
Insert(74.08,Value44)
Insert(1427.28,Value45)
Insert(1412.76,Value46)
Insert(697.02,Value47)
Insert(-743.89,Value48)
Insert(-1479.95,Value49)
Insert(-983.45,Value50)
Insert(718.25,Value51)
Insert(-875.99,Value52)
Insert(-26.76,Value53)
Insert(1154.58,Value54)
Insert(807.18,Value55)
Insert(720.46,Value56)
Insert(-1370.18,Value57)
Insert(-802.63,Value58)
Insert(345.78,Value59)
Insert(-1015.57,Value60)
Insert(1329.75,Value61)
Insert(438.55,Value62)
Insert(-816.55,Value63)
Insert(1108.16,Value64)
Insert(-137.9,Value65)
Insert(505.94,Value66)
Insert(1176.16,Value67)
Insert(-1028.07,Value68)
Insert(1243.12,Value69)
Insert(875.88,Value70)
Insert(-1044.87,Value71)
Insert(-355.73,Value72)
Insert(504.79,Value73)
Insert(-602.16,Value74)
Insert(963.74,Value75)
Insert(606.27,Value76)
Insert(-409.33,Value77)
Insert(1272.63,Value78)
Insert(127.67,Value79)
Insert(791.68,Value80)
Insert(-341.73,Value81)
Insert(211.43,Value82)
Insert(1171.56,Value83)
Insert(-1008.39,Value84)
Insert(474.94,Value85)
Insert(74.94,Value86)
Insert(248.93,Value87)
Insert(-843.87,Value88)
Insert(-1280.98,Value89)
Insert(-956.33,Value90)
Insert(769.0,Value91)
Insert(417.73,Value92)
Insert(-711.24,Value93)
Insert(-693.17,Value94)
Insert(991.53,Value95)
Insert(155.04,Value96)
Insert(-1413.94,Value97)
Insert(263.86,Value98)
Insert(-5.05,Value99)
Insert(659.77,Value100)
Insert(-963.12,Value101)
Insert(-707.09,Value102)
Insert(-837.73,Value103)
Insert(168.18,Value104)
Insert(1261.76,Value105)
Insert(-1141.23,Value106)
Insert(1253.44,Value107)
Insert(-441.47,Value108)
Insert(404.64,Value109)
Insert(-37.16,Value110)
Insert(-742.35,Value111)
Insert(1239.37,Value112)
Insert(1133.75,Value113)
Insert(-772.28,Value114)
Insert(325.72,Value115)
Insert(530.97,Value116)
Insert(489.74,Value117)
Insert(-365.36,Value118)
Insert(-33.93,Value119)
Insert(-1449.71,Value120)
Insert(195.77,Value121)
Insert(-744.2,Value122)
Insert(998.13,Value123)
Insert(-802.87,Value124)
Insert(664.9,Value125)
Insert(-1328.1,Value126)
Insert(-1036.49,Value127)
Insert(-1078.76,Value128)
Insert(-1103.57,Value129)
Insert(-1071.99,Value130)
Insert(-653.35,Value131)
Insert(-1180.76,Value132)
Insert(-817.94,Value133)
Insert(-435.96,Value134)
Insert(980.75,Value135)
Insert(176.96,Value136)
Insert(-133.61,Value137)
Insert(-36.4,Value138)
Insert(431.77,Value139)
Insert(-242.02,Value140)
Insert(-318.57,Value141)
Insert(145.91,Value142)
Insert(-665.21,Value143)
Insert(-1073.51,Value144)
Insert(-1212.58,Value145)
Insert(284.17,Value146)
Insert(1263.51,Value147)
Insert(1204.49,Value148)
Insert(241.44,Value149)
Insert(53.86,Value150)
Insert(-1113.75,Value151)
Insert(887.85,Value152)
Insert(1390.81,Value153)
Insert(-757.34,Value154)
Insert(-1382.31,Value155)
Insert(1454.56,Value156)
Insert(-449.26,Value157)
Insert(-254.72,Value158)
Insert(207.0,Value159)
Insert(-501.85,Value160)
Insert(-207.05,Value161)
Insert(-78.43,Value162)
Insert(-113.38,Value163)
Insert(1412.45,Value164)
Insert(-819.08,Value165)
Insert(-271.31,Value166)
Insert(-727.41,Value167)
Insert(-931.16,Value168)
Insert(671.42,Value169)
Insert(1203.35,Value170)
Insert(1125.68,Value171)
Insert(-1430.75,Value172)
Insert(-676.74,Value173)
Insert(1328.2,Value174)
Insert(-820.42,Value175)
Insert(-17.16,Value176)
Insert(-614.03,Value177)
Insert(202.23,Value178)
Insert(92.49,Value179)
Insert(1248.54,Value180)
Insert(1111.3,Value181)
Insert(-502.44,Value182)
Insert(1471.03,Value183)
Insert(-485.74,Value184)
Insert(-290.12,Value185)
Insert(-1212.47,Value186)
Insert(1017.39,Value187)
Insert(982.91,Value188)
Insert(1141.75,Value189)
Insert(-1160.61,Value190)
Insert(1488.05,Value191)
Insert(-1042.82,Value192)
Insert(-55.4,Value193)
Insert(798.5,Value194)
Insert(1175.4,Value195)
Insert(1183.3,Value196)
Insert(419.92,Value197)
Insert(1207.51,Value198)
Insert(1059.98,Value199)
Insert(76.97,Value200)
Insert(-432.53,Value201)
Insert(-1211.35,Value202)
Insert(373.45,Value203)
Insert(378.08,Value204)
Insert(247.03,Value205)
Insert(-252.8,Value206)
Insert(184.34,Value207)
Insert(-1201.67,Value208)
Insert(755.0,Value209)
Insert(-147.7,Value210)
Insert(-1444.72,Value211)
Insert(823.92,Value212)
Insert(-55.93,Value213)
Insert(1480.66,Value214)
Insert(524.92,Value215)
Insert(-1168.33,Value216)
Insert(-925.65,Value217)
Insert(8.56,Value218)
Insert(276.1,Value219)
Insert(-1140.5,Value220)
Insert(194.32,Value221)
Insert(-1122.45,Value222)
Insert(131.04,Value223)
Insert(-450.95,Value224)
Insert(-26.6,Value225)
Insert(-917.78,Value226)
Insert(147.21,Value227)
Insert(412.36,Value228)
Insert(-740.78,Value229)
Insert(1345.99,Value230)
Insert(-1194.92,Value231)
Insert(1029.67,Value232)
Insert(-842.07,Value233)
Insert(13.15,Value234)
Insert(-991.49,Value235)
Insert(-1087.53,Value236)
Insert(-890.85,Value237)
Insert(-301.93,Value238)
Insert(1372.4,Value239)
Insert(-705.47,Value240)
Insert(-997.25,Value241)
Insert(-419.65,Value242)
Insert(679.67,Value243)
Insert(-502.7,Value244)
Insert(817.23,Value245)
Insert(-510.91,Value246)
Insert(-785.37,Value247)
Insert(1273.48,Value248)
Insert(1105.91,Value249)
Insert(-878.82,Value250)
Insert(-6.8,Value251)
Insert(-1122.83,Value252)
Insert(1355.41,Value253)
Insert(-316.87,Value254)
Insert(-1282.95,Value255)
Insert(-610.6,Value256)
Insert(-775.99,Value257)
Insert(-749.32,Value258)
Insert(909.33,Value259)
Insert(-36.32,Value260)
Insert(1017.67,Value261)
Insert(-933.88,Value262)
Insert(665.45,Value263)
Insert(308.53,Value264)
Insert(1087.1,Value265)
Insert(-1020.04,Value266)
Insert(1354.56,Value267)
Insert(-1417.88,Value268)
Insert(-344.26,Value269)
Insert(-1218.61,Value270)
Insert(1231.16,Value271)
Insert(-956.41,Value272)
Insert(-225.48,Value273)
Insert(-871.4,Value274)
Insert(693.37,Value275)
Insert(-1213.52,Value276)
Insert(-1015.05,Value277)
Insert(177.58,Value278)
Insert(725.54,Value279)
Insert(-958.55,Value280)
Insert(-75.81,Value281)
Insert(430.19,Value282)
Insert(-80.63,Value283)
Insert(746.86,Value284)
Insert(917.11,Value285)
Insert(-128.52,Value286)
Insert(490.45,Value287)
Insert(1476.0,Value288)
Insert(552.71,Value289)
Insert(910.72,Value290)
Insert(-885.64,Value291)
Insert(599.79,Value292)
Insert(830.8,Value293)
Insert(-366.58,Value294)
Insert(-293.77,Value295)
Insert(-385.88,Value296)
Insert(419.16,Value297)
Insert(-705.45,Value298)
Insert(-298.65,Value299)
Insert(-704.82,Value300)
Insert(195.87,Value301)
Insert(-879.7,Value302)
Insert(435.31,Value303)
Insert(-191.88,Value304)
Insert(-1057.98,Value305)
Insert(283.7,Value306)
Insert(451.25,Value307)
Insert(-524.32,Value308)
Insert(62.74,Value309)
Insert(-172.49,Value310)
Insert(-542.22,Value311)
Insert(-84.58,Value312)
Insert(345.37,Value313)
Insert(1407.18,Value314)
Insert(-157.31,Value315)
Insert(1171.51,Value316)
Insert(-199.62,Value317)
Insert(-527.45,Value318)
Insert(769.99,Value319)
Insert(617.18,Value320)
Insert(-778.62,Value321)
Insert(35.15,Value322)
Insert(964.72,Value323)
Insert(-1144.23,Value324)
Insert(-313.02,Value325)
Insert(941.23,Value326)
Insert(330.58,Value327)
Insert(-1015.14,Value328)
Insert(407.09,Value329)
Insert(-1137.43,Value330)
Insert(354.94,Value331)
Insert(-1357.22,Value332)
Insert(-1114.45,Value333)
Insert(830.34,Value334)
Insert(39.47,Value335)
Insert(-73.98,Value336)
Insert(-527.06,Value337)
Insert(-823.5,Value338)
Insert(-722.49,Value339)
Insert(1257.12,Value340)
Insert(-180.7,Value341)
Insert(181.89,Value342)
Insert(178.63,Value343)
Insert(1302.75,Value344)
Insert(-698.34,Value345)
Insert(-453.4,Value346)
Insert(-798.55,Value347)
Insert(15.26,Value348)
Insert(-137.35,Value349)
Insert(-845.63,Value350)
Insert(1283.17,Value351)
Insert(1225.99,Value352)
Insert(-708.6,Value353)
Insert(885.61,Value354)
Insert(-1221.87,Value355)
Insert(668.07,Value356)
Insert(-147.91,Value357)
Insert(778.77,Value358)
Insert(-918.9,Value359)
Insert(-1260.78,Value360)
Insert(696.06,Value361)
Insert(-646.42,Value362)
Insert(1332.29,Value363)
Insert(-996.06,Value364)
Insert(51.96,Value365)
Insert(793.34,Value366)
Insert(-1100.3,Value367)
Insert(-705.31,Value368)
Insert(-112.01,Value369)
Insert(-506.93,Value370)
Insert(1169.36,Value371)
Insert(716.28,Value372)
Insert(1292.89,Value373)
Insert(51.83,Value374)
Insert(-432.2,Value375)
Insert(-777.96,Value376)
Insert(588.18,Value377)
Insert(557.03,Value378)
Insert(-967.5,Value379)
Insert(-1279.99,Value380)
Insert(-381.73,Value381)
Insert(498.75,Value382)
Insert(-423.28,Value383)
Insert(1353.35,Value384)
Insert(-1061.52,Value385)
